Subaru Outback,9847,https://im.mashina.kg/tachka/images//1/3/c/13cbb48400c72fe20e3d1da634b7b3f1_240x180.jpg,"2015,г.,2.5,л.,вариатор,универсал,бензин,руль,слева,138,000,км"
Lexus ES,4137,https://im.mashina.kg/tachka/images//b/6/2/b6288ca0ede09d90a361737c1c06566e_240x180.jpg,"2018,г.,2.5,л.,вариатор,седан,гибрид,руль,слева,172,000,км"
Honda Stepwgn,56,https://im.mashina.kg/tachka/images//4/d/c/4dccda59050cb6e07093033cb9def2b4_240x180.jpg,"2003,г.,2,л.,автомат,минивэн,бензин,руль,справа"
Toyota 4Runner,57,https://im.mashina.kg/tachka/images//f/7/c/f7c8bf44bb634365f3ab96465ed538ff_240x180.jpg,"2016,г.,4,л.,автомат,внедорожник,5,дв.,бензин,руль,слева,83,300,км"
Kia Sorento,1580,https://im.mashina.kg/tachka/images//d/e/c/decf5f82b5e113091d04b18a240c130a_240x180.jpg,"2016,г.,2.2,л.,автомат,внедорожник,5,дв.,дизель,руль,слева"
Toyota Camry,329,https://im.mashina.kg/tachka/images//d/1/a/d1ade9e32f00a7bf25016abb399d8112_240x180.jpg,"2016,г.,2.5,л.,автомат,седан,бензин,руль,слева,90,000,км"
Honda Stream,1379,https://im.mashina.kg/tachka/images//e/b/f/ebfe4541f583caec3f4d6964eb938c9d_240x180.jpg,"2002,г.,2,л.,автомат,компактвэн,бензин,руль,слева,313,000,км"
Lexus RX,138,https://im.mashina.kg/tachka/images//b/e/0/be01b48771cf1d14332d996f4da25c16_240x180.jpg,"2015,г.,3.5,л.,автомат,внедорожник,5,дв.,бензин,руль,слева,150,000,км"
Jeep Liberty (North America),180,https://im.mashina.kg/tachka/images//0/c/7/0c73e031f3b34caaf6265ab16cb4b4d5_240x180.jpg,"2007,г.,3.7,л.,автомат,внедорожник,5,дв.,бензин,руль,слева"
Toyota Camry,449,https://im.mashina.kg/tachka/images//5/8/a/58a60c2e2832d6baccedc2569926bce5_240x180.jpg,"2015,г.,2.5,л.,автомат,седан,бензин,руль,слева,150,000,км"
Mercedes-Benz S-класс,2225,https://im.mashina.kg/tachka/images//6/d/2/6d2b5391ccec64da27c65860494ecf05_240x180.jpg,"2018,г.,2.9,л.,автомат,седан,дизель,руль,слева,100,000,км"
Mercedes-Benz E-класс,413,https://im.mashina.kg/tachka/images//d/c/5/dc5d9dc3a7d301f6aeee94e4eab42213_240x180.jpg,"2000,г.,2.7,л.,автомат,седан,дизель,руль,слева"
Volkswagen Polo,578,https://im.mashina.kg/tachka/images//3/e/3/3e32b162931cf52294b3e28e4c0bd6b3_240x180.jpg,"2015,г.,1.4,л.,робот,хэтчбек,5,дв.,дизель,руль,слева,107,000,км"
Kia Sorento,1261,https://im.mashina.kg/tachka/images//3/7/b/37b93ef4c7c4e186c1d2f414ea59ca8b_240x180.jpg,"2015,г.,2,л.,автомат,внедорожник,5,дв.,дизель,руль,слева,172,000,км"
Toyota Camry,1535,https://im.mashina.kg/tachka/images//5/e/3/5e3ad5f4faa986f0920fd5189e071ec8_240x180.jpg,"2019,г.,2.5,л.,вариатор,седан,гибрид,руль,слева,48,600,км"
BMW 3 Серия,1351,https://im.mashina.kg/tachka/images//8/4/c/84cd81aa68957721951c945eac99dbdf_240x180.jpg,"1985,г.,2.7,л.,механика,седан,бензин,руль,слева,300,000,км"
Toyota Alphard,1830,https://im.mashina.kg/tachka/images//5/e/c/5ecc8cbc1bf1550a9b086770a6793401_240x180.jpg,"2007,г.,3,л.,автомат,минивэн,бензин,руль,справа,128,000,км"
BMW X5,707,https://im.mashina.kg/tachka/images//1/d/2/1d23b63682a6d1d77910ce0394425eb8_240x180.jpg,"2021,г.,4.4,л.,автомат,внедорожник,5,дв.,бензин,руль,слева,15,000,км"
Mercedes-Benz S-класс,2248,https://im.mashina.kg/tachka/images//0/4/9/049b48d2be8fd60043ae1d30bf1840fd_240x180.jpg,"2006,г.,5.5,л.,автомат,седан,бензин,руль,слева,200,000,км"
Lexus NX,1770,https://im.mashina.kg/tachka/images//b/4/0/b40aea724bbdf23cd9b4a24a9f541c5b_240x180.jpg,"2017,г.,2.5,л.,вариатор,внедорожник,5,дв.,гибрид,руль,слева,39,500,км"
